player,team,market,line,p_model,p_book,edge,fair,p25,p75,game,verdict,abs_edge
Garrett Wilson,NYJ,receptions,5.5,0.2192638997650744,0.5091643251893341,-0.28990042542425964,3.7,2.4,5.3,New@Ten,BET UNDER,0.28990042542425964
Isaiah Likely,NYG,receiving_yards,35.5,0.21022805805114028,0.5,-0.2897719419488597,15.0,4.7,31.7,Dal@New,BET UNDER,0.2897719419488597
Ladd McConkey,LAC,receiving_yards,55.5,0.21022805805114028,0.5,-0.2897719419488597,23.5,7.3,49.7,Ari@Los,BET UNDER,0.2897719419488597
Tank Bigsby,PHI,rushing_yards,18.5,0.7935034802784223,0.5090470446320868,0.2844564356463355,35.8,21.0,54.3,Was@Phi,BET OVER,0.2844564356463355
Javonte Williams,DAL,rushing_yards,74.5,0.217169373549884,0.5010179153094463,-0.2838485417595623,46.1,27.0,70.0,Dal@New,BET UNDER,0.2838485417595623
Xavier Worthy,KC,receiving_yards,37.5,0.2286109191430546,0.5082034454470877,-0.27959252630403314,16.7,5.2,35.2,Den@Kan,BET UNDER,0.27959252630403314
Xavier Worthy,KC,receiving_yards,38.5,0.2193503800967519,0.4949766918501849,-0.275626311753433,16.7,5.2,35.2,Den@Kan,BET UNDER,0.275626311753433
Dalton Kincaid,BUF,receiving_yards,38.5,0.2302695231513476,0.5010179153094463,-0.27074839215809865,17.2,5.4,36.4,Buf@Hou,BET UNDER,0.27074839215809865
Nico Collins,HOU,receptions,5.5,0.17384494909945183,0.44264136642936414,-0.26879641732991233,3.4,2.2,4.8,Buf@Hou,BET UNDER,0.26879641732991233
Jake Ferguson,DAL,receiving_yards,30.5,0.22736696613683482,0.495885047082207,-0.26851808094537216,13.5,4.2,28.5,Dal@New,BET UNDER,0.26851808094537216
Jalen Nailor,LV,receiving_yards,37.5,0.2340013821700069,0.5005094762584064,-0.2665080940883995,17.0,5.3,35.8,Mia@Las,BET UNDER,0.2665080940883995
Jake Ferguson,DAL,receiving_yards,29.5,0.23911541119557705,0.5041010938805546,-0.2649856826849775,13.5,4.2,28.5,Dal@New,BET UNDER,0.2649856826849775
De'Von Achane,MIA,receptions,4.5,0.16281962681409815,0.42723631508678234,-0.26441668827268416,2.2,1.1,3.7,Mia@Las,BET UNDER,0.26441668827268416
CeeDee Lamb,DAL,receptions,6.5,0.173061863743148,0.4365466931156307,-0.26348482937248274,4.1,2.6,5.8,Dal@New,BET UNDER,0.26348482937248274
Xavier Worthy,KC,receiving_yards,36.5,0.2377332411886662,0.5,-0.26226675881133377,16.7,5.2,35.2,Den@Kan,BET UNDER,0.26226675881133377
Woody Marks,HOU,rushing_yards,26.5,0.7665893271461717,0.5052301255230125,0.2613592016231592,46.9,27.5,71.3,Buf@Hou,BET OVER,0.2613592016231592
Michael Mayer,LV,receiving_yards,41.5,0.2411851851851852,0.5,-0.25881481481481483,23.3,10.0,40.8,Mia@Las,BET UNDER,0.25881481481481483
Michael Pittman,PIT,receptions,3.5,0.32355555555555554,0.5814694690142582,-0.2579139134587027,2.5,1.4,3.9,Atl@Pit,BET UNDER,0.2579139134587027
Garrett Wilson,NYJ,receiving_yards,63.5,0.2437353171495693,0.5,-0.2562646828504307,40.6,22.1,62.8,New@Ten,BET UNDER,0.2562646828504307
Woody Marks,HOU,rushing_yards,28.5,0.7410672853828306,0.48893805309734506,0.25212923228548556,46.9,27.5,71.3,Buf@Hou,BET OVER,0.25212923228548556
Dalton Kincaid,BUF,receiving_yards,36.5,0.2479612992398065,0.5,-0.2520387007601935,17.2,5.4,36.4,Buf@Hou,BET UNDER,0.2520387007601935
CeeDee Lamb,DAL,receiving_yards,76.5,0.2523492560689115,0.5,-0.2476507439310885,49.7,27.1,76.8,Dal@New,BET UNDER,0.2476507439310885
De'Von Achane,MIA,receiving_yards,29.5,0.24409122322045612,0.49095295536791317,-0.24686173214745705,13.7,4.3,28.9,Mia@Las,BET UNDER,0.24686173214745705
Michael Mayer,LV,receiving_yards,40.5,0.2522962962962963,0.4989535869578972,-0.24665729066160091,23.3,10.0,40.8,Mia@Las,BET UNDER,0.24665729066160091
George Pickens,DAL,receptions,5.5,0.17777777777777778,0.42318827800067604,-0.24541050022289826,3.1,1.7,4.8,Dal@New,BET UNDER,0.24541050022289826
Ryan Flournoy,DAL,receiving_yards,24.5,0.7415818324197337,0.4978941161605526,0.24368771625918112,43.9,23.9,67.8,Dal@New,BET OVER,0.24368771625918112
Theo Johnson,NYG,receptions,1.5,0.7482962962962963,0.5050726691531034,0.2432236271431929,2.6,1.5,4.0,Dal@New,BET OVER,0.2432236271431929
Xavier Worthy,KC,receptions,3.5,0.193503800967519,0.43539373992937713,-0.24188993896185812,1.8,0.9,3.1,Den@Kan,BET UNDER,0.24188993896185812
De'Von Achane,MIA,receiving_yards,27.5,0.2646855563234278,0.5030953363598845,-0.2384097800364567,13.7,4.3,28.9,Mia@Las,BET UNDER,0.2384097800364567
CeeDee Lamb,DAL,receiving_yards,75.5,0.26174628034455755,0.5,-0.23825371965544245,49.7,27.1,76.8,Dal@New,BET UNDER,0.23825371965544245
Terry McLaurin,WAS,receptions,3.5,0.3416296296296296,0.5795407291040983,-0.23791109947446865,2.6,1.5,4.0,Was@Phi,BET UNDER,0.23791109947446865
Jaylen Waddle,DEN,receptions,4.5,0.28355555555555556,0.5203045685279188,-0.23674901297236328,3.1,1.7,4.8,Den@Kan,BET UNDER,0.23674901297236328
Michael Pittman,PIT,receptions,4.5,0.18385185185185185,0.4192516220780375,-0.23539977022618566,2.5,1.4,3.9,Atl@Pit,BET UNDER,0.23539977022618566
Zay Flowers,BAL,receptions,4.5,0.34874074074074074,0.5840352220520675,-0.23529448131132674,3.4,1.9,5.3,Bal@Ind,BET UNDER,0.23529448131132674
Xavier Worthy,KC,receptions,2.5,0.34816862474084315,0.5829383886255923,-0.23476976388474918,1.8,0.9,3.1,Den@Kan,BET UNDER,0.23476976388474918
Garrett Wilson,NYJ,receiving_yards,61.5,0.26272513703993733,0.4974808478514976,-0.23475571081156027,40.6,22.1,62.8,New@Ten,BET UNDER,0.23475571081156027
Zay Flowers,BAL,receiving_yards,66.5,0.2654814814814815,0.5,-0.23451851851851852,39.5,17.0,69.1,Bal@Ind,BET UNDER,0.23451851851851852
Dontayvion Wicks,PHI,receptions,2.5,0.27477539737387696,0.5091643251893341,-0.23438892781545712,1.6,0.8,2.7,Was@Phi,BET UNDER,0.23438892781545712
Tre Tucker,LV,receptions,4.5,0.2034074074074074,0.43717818827807314,-0.23377078087066575,2.6,1.5,4.0,Mia@Las,BET UNDER,0.23377078087066575
Nico Collins,HOU,receiving_yards,71.5,0.26703210649960846,0.5,-0.23296789350039154,47.7,25.9,73.6,Buf@Hou,BET UNDER,0.23296789350039154
Drake London,ATL,receptions,4.5,0.34122944400939703,0.5739738968366939,-0.23274445282729683,3.6,2.3,5.1,Atl@Pit,BET UNDER,0.23274445282729683
Michael Mayer,LV,receiving_yards,39.5,0.26296296296296295,0.49546356436651007,-0.2325006014035471,23.3,10.0,40.8,Mia@Las,BET UNDER,0.2325006014035471
Tetairoa McMillan,CAR,receiving_yards,62.5,0.2682962962962963,0.5,-0.2317037037037037,37.4,16.0,65.4,Chi@Car,BET UNDER,0.2317037037037037
Dalton Kincaid,BUF,receptions,3.5,0.23261921216309606,0.46411201179071476,-0.2314927996276187,2.0,1.0,3.4,Buf@Hou,BET UNDER,0.2314927996276187
Mark Andrews,BAL,receiving_yards,36.5,0.269937802349689,0.5,-0.230062197650311,18.5,5.8,39.1,Bal@Ind,BET UNDER,0.230062197650311
Jayden Reed,GB,receptions,3.5,0.3416296296296296,0.5715225014611338,-0.2298928718315042,2.7,1.5,4.1,Gre@Min,BET UNDER,0.2298928718315042
Garrett Wilson,NYJ,receiving_yards,60.5,0.27036021926389975,0.5,-0.22963978073610025,40.6,22.1,62.8,New@Ten,BET UNDER,0.22963978073610025
Zay Flowers,BAL,receiving_yards,65.5,0.2734814814814815,0.5030135004821601,-0.2295320190006786,39.5,17.0,69.1,Bal@Ind,BET UNDER,0.2295320190006786
Christian Watson,GB,receptions,3.5,0.36133333333333334,0.5872330418066926,-0.22589970847335922,2.7,1.5,4.2,Gre@Min,BET UNDER,0.22589970847335922
Tre Tucker,LV,receptions,3.5,0.3416296296296296,0.5665108372290693,-0.22488120759943964,2.6,1.5,4.0,Mia@Las,BET UNDER,0.22488120759943964
Mark Andrews,BAL,receptions,3.5,0.21368348306841742,0.43767941311975056,-0.22399593005133314,1.9,1.0,3.2,Bal@Ind,BET UNDER,0.22399593005133314
Dontayvion Wicks,PHI,receiving_yards,29.5,0.27643400138217,0.49795039967206395,-0.22151639828989395,15.3,4.8,32.3,Was@Phi,BET UNDER,0.22151639828989395
Terry McLaurin,WAS,receptions,4.5,0.2034074074074074,0.4248366013071895,-0.22142919389978208,2.6,1.5,4.0,Was@Phi,BET UNDER,0.22142919389978208
Mark Andrews,BAL,receiving_yards,35.5,0.27864547339322737,0.5,-0.22135452660677263,18.5,5.8,39.1,Bal@Ind,BET UNDER,0.22135452660677263
