game_id,week,home_team,away_team,home_points,away_points,home_drives,away_drives,neutral
401525434,1,Notre Dame,Navy,42,3,8,8,True
401540199,1,Mercer,North Alabama,17,7,10,10,True
401520145,1,Jacksonville State,UTEP,17,14,11,11,False
401540628,1,UAlbany,Fordham,34,13,12,12,False
401525450,1,New Mexico State,Massachusetts,30,41,13,12,False
401532392,1,San Diego State,Ohio,20,13,10,10,False
401539999,1,Jackson State,South Carolina State,37,7,9,12,True
401520147,1,Vanderbilt,Hawai'i,35,28,7,15,False
401523986,1,USC,San José State,56,28,8,15,False
401520146,1,Louisiana Tech,Florida International,22,17,13,12,False
401540244,1,Lamar,Idaho,17,42,11,11,False
401532393,1,Western Michigan,Saint Francis,35,17,10,10,False
401525461,1,Wake Forest,Elon,37,17,13,12,False
401525816,1,UCF,Kent State,56,6,12,13,False
401531834,1,Georgia State,Rhode Island,42,35,11,12,False
401540534,1,Furman,Tennessee Tech,45,10,13,13,False
401540299,1,Indiana State,Eastern Illinois,0,27,12,10,False
401540323,1,Stony Brook,Delaware,13,37,13,12,False
401520174,1,UConn,NC State,14,24,9,10,False
401540278,1,Abilene Christian,Northern Colorado,31,11,10,9,False
401520176,1,Utah,Florida,24,11,12,12,False
401531337,1,Tulsa,Arkansas-Pine Bluff,42,7,12,13,False
401520165,1,Missouri,South Dakota,35,10,10,11,False
401520148,1,Minnesota,Nebraska,13,10,10,9,False
401531377,1,UAB,North Carolina A&T,35,6,8,9,False
401523987,1,Arizona State,Southern Utah,24,21,12,10,False
401532394,1,Eastern Michigan,Howard,33,23,10,11,False
401525463,1,Miami,Miami (OH),38,3,11,10,False
401520163,1,Michigan State,Central Michigan,31,7,13,13,False
401525462,1,Georgia Tech,Louisville,34,39,13,12,True
401525815,1,Kansas,Missouri State,48,17,12,11,False
401523988,1,Hawai'i,Stanford,24,37,11,11,False
401540285,1,Nicholls,Sacramento State,24,38,13,14,False
401540065,1,Holy Cross,Merrimack,42,20,9,10,False
401540396,1,VMI,Davidson,12,7,12,11,False
401540225,1,Cal Poly,San Diego,27,10,13,12,False
401540219,1,Montana State,Utah Tech,63,20,12,12,False
401540166,1,Texas Southern,Prairie View A&M,34,37,15,15,False
401540078,1,Lehigh,Villanova,10,38,14,13,False
401520170,1,Purdue,Fresno State,35,39,11,13,False
401520172,1,SMU,Louisiana Tech,38,14,12,12,False
401520157,1,Iowa,Utah State,24,14,13,13,False
401525464,1,Boston College,Northern Illinois,24,27,12,12,False
401520160,1,Liberty,Bowling Green,34,24,13,12,False
401525822,1,Oklahoma,Arkansas State,73,0,11,13,False
401520162,1,Michigan,East Carolina,30,3,9,9,False
401520159,1,Kentucky,Ball State,44,14,9,11,False
401520179,1,Tennessee,Virginia,49,13,14,15,True
401523994,1,TCU,Colorado,42,45,12,13,False
401540057,1,Georgetown,Marist,49,7,9,10,False
401532570,1,Air Force,Robert Morris,42,7,10,10,False
401520158,1,Jacksonville State,East Tennessee State,49,3,14,14,False
401540258,1,Montana,Butler,35,20,13,13,False
401520168,1,Ole Miss,Mercer,73,7,12,13,False
401531387,1,Temple,Akron,24,21,13,12,False
