game_id,week,home_team,away_team,home_points,away_points,home_drives,away_drives,neutral
401282714,1,Illinois,Nebraska,30,22,12,12,False
401286187,1,Fresno State,UConn,45,0,14,14,False
401309833,1,UCLA,Hawai'i,44,10,13,14,False
401282049,1,New Mexico State,UTEP,3,30,11,12,False
401310693,1,San José State,Southern Utah,45,14,10,10,False
401282050,1,Jacksonville State,UAB,0,31,12,11,True
401328545,1,Coastal Carolina,The Citadel,52,14,10,8,False
401309542,1,Buffalo,Wagner,69,7,12,9,False
401309540,1,Ball State,Western Illinois,31,21,14,13,False
401300995,1,UCF,Boise State,36,31,14,14,False
401300993,1,App State,East Carolina,33,19,12,11,False
401300994,1,Tulsa,UC Davis,17,19,11,12,False
401282607,1,NC State,South Florida,45,0,13,12,False
401309834,1,Utah,Weber State,40,17,13,11,False
401282180,1,Western Kentucky,UT Martin,59,21,13,12,False
401282789,1,Minnesota,Ohio State,31,45,11,10,False
401281952,1,Tennessee,Bowling Green,38,6,13,13,False
401310696,1,New Mexico,Houston Christian,27,17,13,11,False
401282051,1,Florida International,Long Island University,48,10,8,11,False
401310694,1,UNLV,Eastern Washington,33,35,13,15,False
401309835,1,Arizona State,Southern Utah,41,14,11,11,False
401309937,1,Virginia Tech,North Carolina,17,10,11,11,False
401282052,1,Charlotte,Duke,31,28,12,13,False
401309541,1,Eastern Michigan,Saint Francis,35,15,11,11,False
401282608,1,Wake Forest,Old Dominion,42,10,14,12,False
401287888,1,Kansas,South Dakota,17,14,13,13,False
401282782,1,Northwestern,Michigan State,21,38,12,12,False
401309836,1,Colorado,Northern Colorado,35,7,11,10,False
401310695,1,Colorado State,South Dakota State,23,42,10,10,False
401281947,1,Kentucky,UL Monroe,45,10,13,13,False
401282772,1,Michigan,Western Michigan,47,14,11,11,False
401287889,1,Kansas State,Stanford,24,7,10,9,True
401286188,1,UConn,Holy Cross,28,38,16,15,False
401282822,1,Rutgers,Temple,61,14,15,15,False
401282609,1,Boston College,Colgate,51,0,10,11,False
401309601,1,Georgia State,Army,10,43,9,10,False
401327913,1,Nebraska,Fordham,52,7,11,13,False
401287894,1,Oklahoma,Tulane,40,35,13,13,False
401282815,1,Wisconsin,Penn State,10,16,13,12,False
401281943,1,Arkansas,Rice,38,17,15,15,False
401310861,1,Air Force,Lafayette,35,14,9,6,False
401309838,1,Oregon,Fresno State,31,24,14,13,False
401300996,1,Cincinnati,Miami (OH),49,14,11,13,False
401282764,1,Maryland,West Virginia,30,24,14,13,False
401281942,1,Miami,Alabama,13,44,13,12,True
401282723,1,Iowa,Indiana,34,6,12,14,False
401282174,1,Navy,Marshall,7,49,14,13,False
401281949,1,Mississippi State,Louisiana Tech,35,34,16,15,False
401282612,1,Pittsburgh,Massachusetts,51,7,10,10,False
401281950,1,Missouri,Central Michigan,34,24,13,14,False
401310697,1,Wyoming,Montana State,19,16,12,13,False
401287892,1,Texas,Louisiana,38,18,9,10,False
401287887,1,Iowa State,Northern Iowa,16,10,10,10,False
401309842,1,USC,San José State,30,7,12,13,False
401309600,1,Georgia Southern,Gardner-Webb,30,25,10,10,False
401286294,1,Liberty,Campbell,48,7,11,12,False
401300997,1,Memphis,Nicholls,42,17,11,11,False
401309602,1,Troy,Southern,55,3,10,11,False
401287890,1,Oklahoma State,Missouri State,23,16,15,15,False
401309598,1,Arkansas State,Central Arkansas,40,21,15,15,False
401309543,1,Toledo,Norfolk State,49,10,9,11,False
