game_id,week,home_team,away_team,home_points,away_points,home_drives,away_drives,neutral
401756846,1,Kansas State,Iowa State,21,24,11,13,True
401767476,1,Nicholls,Incarnate Word,20,6,13,14,False
401760371,1,UNLV,Idaho State,38,31,14,14,False
401767126,1,Portland State,Tarleton State,0,42,11,12,False
401756847,1,Kansas,Fresno State,31,7,10,10,False
401757218,1,Western Kentucky,Sam Houston,41,24,15,15,False
401754516,1,Hawai'i,Stanford,23,20,11,10,False
401767410,1,Southern,North Carolina Central,14,31,9,9,True
401762522,1,South Florida,Boise State,34,7,12,12,False
401752794,1,Rutgers,Ohio,34,31,12,8,False
401762790,1,Bowling Green,Lafayette,26,7,11,11,False
401767446,1,Indiana State,McKendree,41,24,14,14,False
401767549,1,Youngstown State,Mercyhurst,24,15,10,9,False
401767209,1,St. Thomas (MN),Lindenwood,35,13,10,9,False
401767171,1,Eastern Illinois,Dayton,24,14,14,13,False
401757219,1,Delaware,Delaware State,35,17,9,10,False
401754373,1,NC State,East Carolina,24,17,12,12,False
401762789,1,Akron,Wyoming,0,10,13,12,False
401756848,1,UCF,Jacksonville State,17,10,10,10,False
401767327,1,Norfolk State,Towson,7,27,11,10,False
401761588,1,UL Monroe,Saint Francis,29,0,11,10,False
401767620,1,Drake,Upper Iowa,41,7,12,11,False
401767298,1,Samford,West Georgia,3,34,14,12,False
401754517,1,Duke,Elon,45,17,10,11,False
401756876,1,Oklahoma State,UT Martin,27,7,11,11,False
401767468,1,Houston Christian,Arkansas Baptist,69,0,16,15,False
401752674,1,Missouri,Central Arkansas,61,6,11,12,False
401752793,1,Minnesota,Buffalo,23,10,11,10,False
401756852,1,Houston,Stephen F. Austin,27,0,14,14,False
401767369,1,Northwestern State,Alcorn State,20,10,13,13,False
401762430,1,UAB,Alabama State,52,42,9,10,False
401762791,1,Wisconsin,Miami (OH),17,0,10,10,False
401752796,1,Cincinnati,Nebraska,17,20,10,10,True
401760357,1,San Diego State,Stony Brook,42,0,12,13,False
401762432,1,Army,Tarleton State,27,30,14,16,False
401767140,1,Rhode Island,Campbell,31,20,13,14,False
401766898,1,Florida International,Bethune-Cookman,42,9,11,12,False
401767256,1,Colgate,Monmouth,39,42,12,12,False
401761589,1,Charlotte,App State,11,34,10,11,True
401752802,1,Michigan State,Western Michigan,23,6,13,12,False
401779329,1,Marist,New Haven,31,14,13,12,False
401754374,1,Wake Forest,Kennesaw State,10,9,12,11,False
401756854,1,Kansas,Wagner,46,7,13,13,False
401752795,1,Illinois,Western Illinois,52,3,10,11,False
401752667,1,Baylor,Auburn,24,38,10,9,False
401754375,1,Colorado,Georgia Tech,20,27,10,10,False
401757224,1,Sam Houston,UNLV,21,38,11,10,True
401760358,1,San José State,Central Michigan,14,16,12,11,False
401752797,1,Maryland,Florida Atlantic,39,7,15,17,False
401767509,1,The Citadel,North Dakota State,0,38,10,10,False
401762434,1,Navy,VMI,52,7,11,11,False
401762792,1,Kent State,Merrimack,21,17,12,13,False
401752677,1,Ohio State,Texas,14,7,11,10,False
401752801,1,Purdue,Ball State,31,0,9,9,False
401752673,1,Southern Miss,Mississippi State,17,34,12,12,False
401752676,1,Tennessee,Syracuse,45,26,12,13,True
401752803,1,Tulane,Northwestern,23,3,12,11,False
401754520,1,Pittsburgh,Duquesne,61,9,14,16,False
401767732,1,Lehigh,Richmond,21,14,11,10,False
401752670,1,Kentucky,Toledo,24,16,13,13,False
401767602,1,Davidson,Georgetown,14,51,11,12,False
401767230,1,Tennessee Tech,Cumberland (TN),65,0,11,12,False
401757167,1,UConn,Central Connecticut,59,13,13,13,False
401767655,1,Valparaiso,Virginia Lynchburg,67,10,13,15,False
401767339,1,Furman,William & Mary,23,21,11,12,False
401754518,1,Boston College,Fordham,66,10,14,15,False
401756878,1,West Virginia,Robert Morris,45,3,15,15,False
401767657,1,Sacred Heart,Stonehill,12,7,9,9,False
401767536,1,Northern Iowa,Butler,38,14,9,9,False
401752806,1,Indiana,Old Dominion,27,14,11,12,False
401754519,1,Louisville,Eastern Kentucky,51,17,12,12,False
401767119,1,Northern Colorado,Chadron State,17,3,8,8,False
401767179,1,Jackson State,Hampton,28,14,13,11,False
401762793,1,Northern Illinois,Holy Cross,19,17,12,12,False
401762456,1,Massachusetts,Temple,10,42,10,11,False
401752807,1,Penn State,Nevada,46,11,11,11,False
401756853,1,Iowa State,South Dakota,55,7,10,9,False
401752665,1,Florida State,Alabama,31,17,10,10,False
401760359,1,Air Force,Bucknell,49,13,9,10,False
401752669,1,Georgia,Marshall,45,7,13,14,False
401757220,1,Liberty,Maine,28,7,11,12,False
401767350,1,Florida A&M,Howard,9,10,11,11,True
401752804,1,Oregon,Montana State,59,13,10,9,False
401752666,1,Arkansas,Alabama A&M,52,7,13,12,False
401767223,1,Tennessee State,North Carolina A&T,24,21,14,14,False
401762433,1,Memphis,Chattanooga,45,10,10,12,False
401767425,1,Mississippi Valley State,Southern,29,34,14,15,False
401767454,1,East Tennessee State,Murray State,45,17,12,12,False
401767572,1,Mercer,Presbyterian,10,15,10,10,False
401767201,1,Western Carolina,Gardner-Webb,45,52,18,18,False
401767265,1,North Carolina Central,New Hampshire,10,27,12,13,False
401767651,1,Stetson,Webber International,21,31,13,11,False
401752799,1,Iowa,UAlbany,34,7,10,10,False
401767415,1,South Carolina State,Wofford,16,15,12,11,False
401752675,1,Oklahoma,Illinois State,35,3,11,11,False
401754616,1,Virginia,Coastal Carolina,48,7,13,15,False
401761590,1,James Madison,Weber State,45,10,15,14,False
401767634,1,Morehead State,Allen,38,31,10,10,False
401767490,1,McNeese,Louisiana Christian,54,9,11,13,False
401767547,1,Southern Illinois,Thomas More,49,3,12,12,False
401767059,1,Incarnate Word,Eastern Washington,31,21,13,13,False
401767130,1,South Dakota State,Sacramento State,20,3,11,12,False
401761593,1,South Alabama,Morgan State,38,21,12,11,False
401757222,1,Middle Tennessee,Austin Peay,14,34,13,14,False
401752668,1,Florida,Long Island University,55,0,12,14,False
401757226,1,Western Kentucky,North Alabama,55,6,14,13,False
401761595,1,Troy,Nicholls,38,20,11,11,False
401756855,1,Kansas State,North Dakota,38,35,13,13,False
401752678,1,Texas A&M,UTSA,42,24,13,12,False
401788977,1,Grambling,Langston,55,7,15,15,True
401761591,1,Arkansas State,Southeast Missouri State,42,24,11,12,False
401752679,1,Vanderbilt,Charleston Southern,45,3,12,10,False
401752808,1,Michigan,New Mexico,34,17,11,13,False
401752671,1,Clemson,LSU,10,17,11,11,False
401757221,1,Louisiana Tech,SE Louisiana,24,0,12,12,False
401752798,1,USC,Missouri State,73,13,12,13,False
401757225,1,Utah State,UTEP,28,16,13,13,False
401756877,1,Texas Tech,Arkansas-Pine Bluff,67,7,12,12,False
401752672,1,Ole Miss,Georgia State,63,7,14,15,False
401767070,1,San Diego,Cal Poly,17,41,12,11,False
401762457,1,Tulsa,Abilene Christian,35,7,11,11,False
401767526,1,UT Rio Grande Valley,Sul Ross State,66,0,11,13,False
401767431,1,Texas Southern,Prairie View A&M,21,22,8,10,False
401761592,1,Louisiana,Rice,12,14,10,11,False
401762435,1,North Texas,Lamar,51,0,12,13,False
401761594,1,Texas State,Eastern Michigan,52,27,11,10,False
401756851,1,BYU,Portland State,69,0,11,14,False
