game_id,week,home_team,away_team,home_points,away_points,home_drives,away_drives,neutral
401635525,1,Georgia Tech,Florida State,24,21,7,7,True
401654665,1,Tarleton State,McNeese,26,23,13,13,False
401643697,1,New Mexico,Montana State,31,35,11,12,False
401654662,1,Southeast Missouri State,North Alabama,37,15,12,12,True
401636372,1,Norfolk State,Florida A&M,23,24,9,9,True
401643696,1,Nevada,SMU,24,29,12,13,False
401643858,1,Hawai'i,Delaware State,35,14,14,14,False
401628580,1,Villanova,Youngstown State,24,17,9,9,False
401673041,1,Morehead State,Central State,17,10,12,11,False
401628458,1,Rutgers,Howard,44,7,10,11,False
401634143,1,Mercer,Presbyterian,63,10,10,13,False
401628592,1,William & Mary,VMI,41,7,7,10,False
401634299,1,NC State,Western Carolina,38,21,11,12,False
401628581,1,Wake Forest,North Carolina A&T,45,13,10,10,False
401634152,1,Gardner-Webb,Wofford,20,21,10,10,False
401644729,1,Bowling Green,Fordham,41,17,9,10,False
401628579,1,Delaware,Bryant,48,17,13,12,False
401636387,1,UL Monroe,Jackson State,30,14,9,10,False
401644727,1,Buffalo,Lafayette,30,13,13,13,False
401644730,1,Central Michigan,Central Connecticut,66,10,10,13,False
401628582,1,UCF,New Hampshire,57,3,15,16,False
401644728,1,Toledo,Duquesne,49,10,12,10,False
401628320,1,Arkansas,Arkansas-Pine Bluff,70,0,10,11,True
401655860,1,St. Thomas (MN),Sioux Falls,13,34,12,14,False
401628327,1,Missouri,Murray State,51,0,11,13,False
401628448,1,Minnesota,North Carolina,17,19,11,11,False
401634206,1,Colorado,North Dakota State,31,26,9,9,False
401654562,1,South Dakota,Northern State,45,3,9,10,False
401645318,1,Tulsa,Northwestern State,62,28,11,13,False
401645316,1,UAB,Alcorn State,41,3,13,13,False
401640998,1,Jacksonville State,Coastal Carolina,27,55,14,14,False
401636606,1,Kansas,Lindenwood,48,3,9,10,True
401645317,1,Tulane,SE Louisiana,52,0,8,10,False
401654845,1,Illinois,Eastern Illinois,45,0,12,12,False
401628583,1,Eastern Washington,Monmouth,42,27,10,10,False
401636607,1,Utah,Southern Utah,49,0,12,12,False
401643698,1,San José State,Sacramento State,42,24,15,14,False
401645319,1,Army,Lehigh,42,7,7,7,False
401656600,1,Maine,Colgate,17,14,9,9,False
401628328,1,Oklahoma,Temple,51,3,13,14,False
401628453,1,Michigan State,Florida Atlantic,16,10,14,13,False
401628584,1,Duke,Elon,26,3,12,12,False
401628461,1,Wisconsin,Western Michigan,28,14,9,7,False
401634300,1,Stanford,TCU,27,34,13,13,False
401643703,1,Utah State,Robert Morris,36,14,14,15,False
401628457,1,West Virginia,Penn State,12,34,12,12,False
401645322,1,Navy,Bucknell,49,21,14,14,False
401634169,1,Purdue,Indiana State,49,0,11,12,False
401628450,1,Iowa,Illinois State,40,0,14,14,False
401632062,1,Louisville,Austin Peay,62,0,13,14,False
401628333,1,Vanderbilt,Virginia Tech,34,27,11,11,False
401654646,1,Dayton,Saint Francis,18,10,12,12,False
401654657,1,Wagner,Virginia Lynchburg,46,7,10,10,False
401628323,1,Georgia,Clemson,34,3,11,11,True
401628451,1,Maryland,UConn,50,7,15,15,False
401634305,1,Pittsburgh,Kent State,55,24,11,13,False
401654641,1,Georgetown,Davidson,46,24,10,11,False
401628330,1,Tennessee,Chattanooga,69,3,13,14,False
401655657,1,Butler,Upper Iowa,40,7,13,14,False
401634212,1,Oklahoma State,South Dakota State,44,20,13,13,False
401628591,1,Cincinnati,Towson,38,20,12,13,False
401637159,1,Washington State,Portland State,70,30,14,14,False
401634133,1,App State,East Tennessee State,38,10,11,11,False
401628322,1,Florida,Miami,17,41,12,12,False
401628455,1,Ohio State,Akron,52,6,11,13,False
401628454,1,Nebraska,UTEP,40,7,11,11,False
401644731,1,Northern Illinois,Western Illinois,54,15,11,11,False
401643699,1,Air Force,Merrimack,21,6,11,11,False
401634304,1,Syracuse,Ohio,38,22,11,11,False
401634197,1,Iowa State,North Dakota,21,3,8,8,False
401628449,1,Indiana,Florida International,31,7,10,10,False
401628331,1,Texas,Colorado State,52,0,12,12,False
401644683,1,Northwestern,Miami (OH),13,6,10,10,True
401629039,1,Massachusetts,Eastern Michigan,14,28,9,9,False
401641015,1,UTSA,Kennesaw State,28,16,13,13,False
401643700,1,Georgia Southern,Boise State,45,56,13,14,False
401655628,1,Northern Arizona,Lincoln (CA),66,6,11,13,False
401628329,1,South Carolina,Old Dominion,23,19,15,14,False
401634301,1,California,UC Davis,31,13,6,7,False
401643775,1,South Alabama,North Texas,38,52,12,11,False
401628590,1,Marshall,Stony Brook,45,3,13,13,False
401654582,1,Northern Iowa,Valparaiso,35,7,10,10,False
401645320,1,East Carolina,Norfolk State,42,3,14,16,False
401654497,1,Sacred Heart,Delaware State,15,17,10,10,False
401654844,1,Charleston Southern,The Citadel,21,22,10,10,False
401654584,1,Tennessee State,Mississippi Valley State,41,21,11,12,False
401628586,1,Liberty,Campbell,41,24,12,11,False
401628326,1,Mississippi State,Eastern Kentucky,56,7,12,13,False
401628589,1,Virginia,Richmond,34,13,11,11,False
401654510,1,Hampton,Morgan State,28,30,10,11,False
401673044,1,Stetson,Ave Maria University,41,3,11,9,False
401636373,1,Florida A&M,South Carolina State,22,18,10,10,False
401643704,1,Oregon State,Idaho State,38,15,10,10,False
401628588,1,Rhode Island,Holy Cross,20,17,10,10,False
401636611,1,Houston,UNLV,7,27,14,13,False
401628585,1,UAlbany,Long Island University,27,21,12,13,False
401636610,1,Baylor,Tarleton State,45,3,13,13,False
401632064,1,Arkansas State,Central Arkansas,34,31,14,15,False
401628319,1,Alabama,Western Kentucky,63,0,14,14,False
401641023,1,Middle Tennessee,Tennessee Tech,32,25,10,11,False
401636612,1,Kansas State,UT Martin,41,6,10,13,False
401628325,1,Ole Miss,Furman,76,0,16,16,False
401638359,1,Incarnate Word,Northern Colorado,28,7,14,13,False
401636363,1,South Florida,Bethune-Cookman,48,3,14,13,False
401645321,1,Memphis,North Alabama,40,0,10,11,False
401643701,1,Troy,Nevada,26,28,10,10,False
401641039,1,Rice,Sam Houston,14,34,13,13,False
401636613,1,Texas Tech,Abilene Christian,52,51,12,13,False
401628452,1,Michigan,Fresno State,30,10,11,12,False
401628459,1,Hawai'i,UCLA,13,16,12,11,False
401628321,1,Auburn,Alabama A&M,73,3,13,15,False
401628332,1,Texas A&M,Notre Dame,13,23,12,12,False
401628456,1,Oregon,Idaho,24,14,13,12,False
401628324,1,Kentucky,Southern Miss,31,0,7,7,False
401634303,1,SMU,Houston Christian,59,7,13,13,False
401636380,1,Louisiana,Grambling,40,10,9,10,False
401643774,1,Charlotte,James Madison,7,30,12,12,False
401634302,1,Georgia Tech,Georgia State,35,12,10,10,False
401654557,1,McNeese,Southern,21,7,13,13,False
401643702,1,San Diego State,East Texas A&M,45,14,11,13,False
401641007,1,Louisiana Tech,Nicholls,25,17,17,16,False
401655621,1,San Diego,Cal Poly,27,21,1,1,False
401643776,1,Texas State,Lamar,34,27,11,13,False
401634240,1,BYU,Southern Illinois,41,13,12,11,False
401641032,1,New Mexico State,Southeast Missouri State,23,16,12,12,False
401634180,1,Montana,Missouri State,29,24,11,11,False
401632066,1,Utah Tech,Montana State,7,31,12,12,False
401636608,1,Arizona,New Mexico,61,39,12,14,False
