game_id,week,home_team,away_team,home_points,away_points,home_drives,away_drives,neutral
401505436,13,Furman,Elon,31,6,13,12,False
401405152,13,Maryland,Rutgers,37,0,13,13,False
401405153,13,Ohio State,Michigan,23,45,14,14,False
401426389,13,South Alabama,Old Dominion,27,20,9,9,False
401403962,13,Clemson,South Carolina,30,31,13,17,False
401426390,13,Marshall,Georgia State,28,23,12,12,False
401404144,13,Massachusetts,Army,7,44,12,12,False
401403959,13,Georgia,Georgia Tech,37,14,12,11,False
401415664,13,Temple,East Carolina,46,49,13,13,False
401416653,13,Buffalo,Kent State,27,30,12,13,False
401416652,13,Northern Illinois,Akron,12,44,13,11,False
401426617,13,North Texas,Rice,21,17,11,11,False
401423953,13,Southern,Grambling,34,17,11,11,True
401505431,13,New Hampshire,Fordham,52,42,15,14,False
401505437,13,Richmond,Davidson,41,0,10,9,False
401403960,13,Kentucky,Louisville,26,13,11,10,False
401411174,13,Duke,Wake Forest,34,31,11,11,False
401405151,13,Indiana,Purdue,16,30,12,10,False
401426384,13,Arkansas State,Troy,19,48,14,13,False
401415271,13,San José State,Hawai'i,27,14,11,10,False
401426618,13,UTSA,UTEP,34,31,10,11,False
401426616,13,Louisiana Tech,UAB,27,37,14,13,False
401405149,13,Northwestern,Illinois,3,41,12,10,False
401405150,13,Wisconsin,Minnesota,16,23,11,11,False
401404047,13,Oregon State,Oregon,38,34,14,13,False
401415666,13,SMU,Memphis,34,31,10,10,False
401403957,13,Alabama,Auburn,49,27,12,11,False
401505433,13,Weber State,North Dakota,38,31,10,11,False
401404048,13,Colorado,Utah,21,63,14,14,False
401405154,13,Penn State,Michigan State,35,16,12,11,False
401404120,13,TCU,Iowa State,62,14,12,14,False
401426385,13,UL Monroe,Southern Miss,10,20,10,11,False
401426386,13,Texas State,Louisiana,13,41,11,12,False
401505432,13,Eastern Kentucky,Gardner-Webb,41,52,12,13,False
401415272,13,UNLV,Nevada,27,22,15,17,False
401426382,13,Georgia Southern,App State,51,48,14,15,False
401426614,13,Florida International,Middle Tennessee,28,33,14,12,False
401403963,13,Texas A&M,LSU,38,23,10,10,False
401415667,13,South Florida,UCF,39,46,12,12,False
401403964,13,Vanderbilt,Tennessee,0,56,14,13,False
401404133,13,USC,Notre Dame,38,27,9,9,False
401415668,13,Houston,Tulsa,30,37,12,13,False
401404122,13,Texas Tech,Oklahoma,51,48,17,17,False
401411173,13,Boston College,Syracuse,23,32,12,12,False
401411175,13,Miami,Pittsburgh,16,42,13,13,False
401404121,13,Kansas State,Kansas,47,27,13,11,False
401415267,13,San Diego State,Air Force,3,13,11,12,False
401505434,13,Montana,Southeast Missouri State,34,24,12,12,False
401404051,13,Washington State,Washington,33,51,12,12,False
401404049,13,Stanford,BYU,26,35,8,8,False
401506450,14,Buffalo,Akron,23,22,12,13,False
401437032,14,UTSA,North Texas,48,27,12,12,False
401437035,14,USC,Utah,24,47,13,12,True
401506610,14,Holy Cross,New Hampshire,35,19,13,12,False
401437033,14,Ohio,Toledo,7,17,11,11,True
401437030,14,TCU,Kansas State,28,31,15,14,True
401506630,14,William & Mary,Gardner-Webb,54,14,13,12,False
401506571,14,Incarnate Word,Furman,41,38,16,15,False
401507088,14,New Mexico State,Valparaiso,65,3,16,15,False
401506655,14,Samford,SE Louisiana,48,42,15,14,False
401437037,14,Troy,Coastal Carolina,45,26,13,12,False
401506690,14,North Dakota State,Montana,49,26,12,12,False
401437008,14,Tulane,UCF,45,28,14,15,False
401437034,14,Boise State,Fresno State,16,28,13,13,False
401437036,14,Georgia,LSU,50,30,13,14,True
401437132,14,Jackson State,Southern,43,24,14,15,False
401437031,14,Michigan,Purdue,43,22,11,12,True
401437009,14,North Carolina,Clemson,10,39,11,10,True
401507650,15,North Dakota State,Samford,24,3,9,8,False
401507670,15,Montana State,William & Mary,55,0,12,13,False
401507652,15,Sacramento State,Incarnate Word,63,66,16,12,False
401507651,15,South Dakota State,Holy Cross,41,21,9,10,False
401404145,15,Army,Navy,20,17,14,15,True
